
2023/04/11 (00:30:48) | ===> btop++ v.1.2.13
2023/04/11 (00:30:48) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/04/11 (00:30:50) | ===> btop++ v.1.2.13
2023/04/11 (00:30:50) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/04/11 (00:37:13) | ===> btop++ v.1.2.13
2023/04/11 (00:37:13) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/04/11 (00:37:19) | ===> btop++ v.1.2.13
2023/04/11 (00:37:19) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/04/11 (00:37:21) | ===> btop++ v.1.2.13
2023/04/11 (00:37:21) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/04/11 (00:37:23) | ===> btop++ v.1.2.13
2023/04/11 (00:37:23) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/04/11 (00:37:24) | ===> btop++ v.1.2.13
2023/04/11 (00:37:24) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
